timestamp,message
1778679674250,"2026/05/13 13:41:14 [error] 31#31: *19 open() ""/usr/share/nginx/html/vendor/phpunit/Util/PHP/eval-stdin.php"" failed (2: No such file or directory), client: 10.20.1.77, server: localhost, request: ""GET /vendor/phpunit/Util/PHP/eval-stdin.php HTTP/1.1"", host: ""3.8.225.103"""
1778679674278,"10.20.1.77 - - [13/May/2026:13:41:14 +0000] ""GET /vendor/phpunit/phpunit/LICENSE/eval-stdin.php HTTP/1.1"" 404 153 ""-"" ""libredtail-http"" ""216.57.110.81"""
1778679674278,"2026/05/13 13:41:14 [error] 31#31: *20 open() ""/usr/share/nginx/html/vendor/phpunit/phpunit/LICENSE/eval-stdin.php"" failed (2: No such file or directory), client: 10.20.1.77, server: localhost, request: ""GET /vendor/phpunit/phpunit/LICENSE/eval-stdin.php HTTP/1.1"", host: ""3.8.225.103"""
1778679674308,"2026/05/13 13:41:14 [error] 31#31: *21 open() ""/usr/share/nginx/html/vendor/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php"" failed (2: No such file or directory), client: 10.20.1.77, server: localhost, request: ""GET /vendor/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1"", host: ""3.8.225.103"""
1778679674309,"10.20.1.77 - - [13/May/2026:13:41:14 +0000] ""GET /vendor/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1"" 404 153 ""-"" ""libredtail-http"" ""216.57.110.81"""
1778679674341,"2026/05/13 13:41:14 [error] 31#31: *22 open() ""/usr/share/nginx/html/phpunit/phpunit/src/Util/PHP/eval-stdin.php"" failed (2: No such file or directory), client: 10.20.1.77, server: localhost, request: ""GET /phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1"", host: ""3.8.225.103"""
1778679674341,"10.20.1.77 - - [13/May/2026:13:41:14 +0000] ""GET /phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1"" 404 153 ""-"" ""libredtail-http"" ""216.57.110.81"""
1778679674368,"2026/05/13 13:41:14 [error] 31#31: *23 open() ""/usr/share/nginx/html/phpunit/phpunit/Util/PHP/eval-stdin.php"" failed (2: No such file or directory), client: 10.20.1.77, server: localhost, request: ""GET /phpunit/phpunit/Util/PHP/eval-stdin.php HTTP/1.1"", host: ""3.8.225.103"""
1778679674368,"10.20.1.77 - - [13/May/2026:13:41:14 +0000] ""GET /phpunit/phpunit/Util/PHP/eval-stdin.php HTTP/1.1"" 404 153 ""-"" ""libredtail-http"" ""216.57.110.81"""
1778679674392,"2026/05/13 13:41:14 [error] 31#31: *24 open() ""/usr/share/nginx/html/phpunit/src/Util/PHP/eval-stdin.php"" failed (2: No such file or directory), client: 10.20.1.77, server: localhost, request: ""GET /phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1"", host: ""3.8.225.103"""
1778679674392,"10.20.1.77 - - [13/May/2026:13:41:14 +0000] ""GET /phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1"" 404 153 ""-"" ""libredtail-http"" ""216.57.110.81"""
1778679674418,"2026/05/13 13:41:14 [error] 31#31: *25 open() ""/usr/share/nginx/html/phpunit/Util/PHP/eval-stdin.php"" failed (2: No such file or directory), client: 10.20.1.77, server: localhost, request: ""GET /phpunit/Util/PHP/eval-stdin.php HTTP/1.1"", host: ""3.8.225.103"""
1778679674418,"10.20.1.77 - - [13/May/2026:13:41:14 +0000] ""GET /phpunit/Util/PHP/eval-stdin.php HTTP/1.1"" 404 153 ""-"" ""libredtail-http"" ""216.57.110.81"""
1778679674445,"2026/05/13 13:41:14 [error] 31#31: *26 open() ""/usr/share/nginx/html/lib/phpunit/phpunit/src/Util/PHP/eval-stdin.php"" failed (2: No such file or directory), client: 10.20.1.77, server: localhost, request: ""GET /lib/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1"", host: ""3.8.225.103"""
1778679674445,"10.20.1.77 - - [13/May/2026:13:41:14 +0000] ""GET /lib/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1"" 404 153 ""-"" ""libredtail-http"" ""216.57.110.81"""
1778679674474,"2026/05/13 13:41:14 [error] 31#31: *27 open() ""/usr/share/nginx/html/lib/phpunit/phpunit/Util/PHP/eval-stdin.php"" failed (2: No such file or directory), client: 10.20.1.77, server: localhost, request: ""GET /lib/phpunit/phpunit/Util/PHP/eval-stdin.php HTTP/1.1"", host: ""3.8.225.103"""
1778679674474,"10.20.1.77 - - [13/May/2026:13:41:14 +0000] ""GET /lib/phpunit/phpunit/Util/PHP/eval-stdin.php HTTP/1.1"" 404 153 ""-"" ""libredtail-http"" ""216.57.110.81"""
1778679674499,"2026/05/13 13:41:14 [error] 31#31: *28 open() ""/usr/share/nginx/html/lib/phpunit/src/Util/PHP/eval-stdin.php"" failed (2: No such file or directory), client: 10.20.1.77, server: localhost, request: ""GET /lib/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1"", host: ""3.8.225.103"""
1778679674499,"10.20.1.77 - - [13/May/2026:13:41:14 +0000] ""GET /lib/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1"" 404 153 ""-"" ""libredtail-http"" ""216.57.110.81"""
1778679674525,"2026/05/13 13:41:14 [error] 31#31: *29 open() ""/usr/share/nginx/html/lib/phpunit/Util/PHP/eval-stdin.php"" failed (2: No such file or directory), client: 10.20.1.77, server: localhost, request: ""GET /lib/phpunit/Util/PHP/eval-stdin.php HTTP/1.1"", host: ""3.8.225.103"""
1778679674525,"10.20.1.77 - - [13/May/2026:13:41:14 +0000] ""GET /lib/phpunit/Util/PHP/eval-stdin.php HTTP/1.1"" 404 153 ""-"" ""libredtail-http"" ""216.57.110.81"""
1778679674555,"2026/05/13 13:41:14 [error] 31#31: *30 open() ""/usr/share/nginx/html/lib/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php"" failed (2: No such file or directory), client: 10.20.1.77, server: localhost, request: ""GET /lib/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1"", host: ""3.8.225.103"""
1778679674555,"10.20.1.77 - - [13/May/2026:13:41:14 +0000] ""GET /lib/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1"" 404 153 ""-"" ""libredtail-http"" ""216.57.110.81"""
1778679674586,"2026/05/13 13:41:14 [error] 31#31: *31 open() ""/usr/share/nginx/html/laravel/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php"" failed (2: No such file or directory), client: 10.20.1.77, server: localhost, request: ""GET /laravel/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1"", host: ""3.8.225.103"""
1778679674586,"10.20.1.77 - - [13/May/2026:13:41:14 +0000] ""GET /laravel/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1"" 404 153 ""-"" ""libredtail-http"" ""216.57.110.81"""
1778679674627,"2026/05/13 13:41:14 [error] 31#31: *32 open() ""/usr/share/nginx/html/www/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php"" failed (2: No such file or directory), client: 10.20.1.77, server: localhost, request: ""GET /www/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1"", host: ""3.8.225.103"""
1778679674627,"10.20.1.77 - - [13/May/2026:13:41:14 +0000] ""GET /www/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1"" 404 153 ""-"" ""libredtail-http"" ""216.57.110.81"""
1778679674667,"2026/05/13 13:41:14 [error] 31#31: *33 open() ""/usr/share/nginx/html/ws/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php"" failed (2: No such file or directory), client: 10.20.1.77, server: localhost, request: ""GET /ws/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1"", host: ""3.8.225.103"""
1778679674667,"10.20.1.77 - - [13/May/2026:13:41:14 +0000] ""GET /ws/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1"" 404 153 ""-"" ""libredtail-http"" ""216.57.110.81"""
1778679674698,"2026/05/13 13:41:14 [error] 31#31: *34 open() ""/usr/share/nginx/html/yii/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php"" failed (2: No such file or directory), client: 10.20.1.77, server: localhost, request: ""GET /yii/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1"", host: ""3.8.225.103"""
1778679674698,"10.20.1.77 - - [13/May/2026:13:41:14 +0000] ""GET /yii/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1"" 404 153 ""-"" ""libredtail-http"" ""216.57.110.81"""
1778679674729,"2026/05/13 13:41:14 [error] 32#32: *35 open() ""/usr/share/nginx/html/zend/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php"" failed (2: No such file or directory), client: 10.20.1.77, server: localhost, request: ""GET /zend/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1"", host: ""3.8.225.103"""
